,file,realNumber,add_len,total_len,sparse_trans,dense_trans,gpos,gquat,init_n,pred_n
0,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002721372.json,tensor([37]),tensor([0]),37,36,0,0.70319843,0.1549284,20,38
1,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002721495.json,tensor([71]),tensor([0]),71,98,0,1.721533,0.21204278,74,100
2,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002721608.json,tensor([60]),tensor([0]),60,67,0,1.0371324,0.17214109,52,69
3,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002721787.json,tensor([68]),tensor([0]),68,67,0,0.88940483,0.18014914,46,69
4,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002722137.json,tensor([47]),tensor([0]),47,50,0,0.6018778,0.05997287,24,52
5,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002722148.json,tensor([33]),tensor([0]),33,49,0,1.545245,0.18088749,36,51
6,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002722216.json,tensor([40]),tensor([0]),40,25,0,0.7151125,0.2133132,14,27
7,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002722610.json,tensor([25]),tensor([0]),25,25,0,0.41493696,0.07688088,12,27
8,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002722766.json,tensor([46]),tensor([0]),46,41,0,0.7697802,0.118113115,23,43
9,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002722799.json,tensor([72]),tensor([0]),72,54,0,1.3252189,0.19357572,39,56
10,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002722979.json,tensor([51]),tensor([0]),51,48,0,0.568907,0.07265832,39,50
11,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002723879.json,tensor([54]),tensor([0]),54,49,0,1.0201414,0.21276245,24,51
12,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002723992.json,tensor([57]),tensor([0]),57,50,0,1.3466026,0.20677134,34,52
13,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724049.json,tensor([50]),tensor([0]),50,45,0,0.81133723,0.09499568,32,47
14,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724061.json,tensor([36]),tensor([0]),36,27,0,0.9553721,0.17726022,19,29
15,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724083.json,tensor([40]),tensor([0]),40,54,0,0.6157389,0.2186076,29,56
16,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724331.json,tensor([74]),tensor([0]),74,69,0,1.3089708,0.17906651,51,71
17,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724421.json,tensor([55]),tensor([0]),55,47,0,0.9067413,0.14420934,33,49
18,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724544.json,tensor([28]),tensor([0]),28,40,0,0.5636931,0.115270786,19,42
19,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724577.json,tensor([39]),tensor([0]),39,34,0,0.95429164,0.17766042,23,36
20,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724689.json,tensor([45]),tensor([0]),45,37,0,1.3845471,0.19481942,24,39
21,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724814.json,tensor([35]),tensor([0]),35,31,0,0.6238232,0.15774037,20,33
22,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002724982.json,tensor([48]),tensor([0]),48,54,0,1.6146916,0.1392021,39,56
23,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002725040.json,tensor([36]),tensor([0]),36,47,0,0.90588164,0.11132987,31,49
24,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002725141.json,tensor([43]),tensor([0]),43,39,0,0.9658475,0.16665721,36,41
25,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002725152.json,tensor([17]),tensor([0]),17,24,0,0.4050649,0.05228805,17,26
26,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002725376.json,tensor([47]),tensor([0]),47,39,0,1.0167277,0.1637163,24,41
27,/home/mjy/1126Teeth/datasets/teeth10k/test/complete/C01002725466.json,tensor([56]),tensor([0]),56,92,0,1.3468933,0.11042477,64,94
